Place,Time,Wind,Athlete,Country,Date of Birth,City,Event Date
713,20.07,-1.0,Kenneth Bednarek,USA,14.10.98,Des Moines,28.07.2019
713,20.07,+0.3,Ramil Guliyev,TUR,29.05.90,Ad-Dawhah,01.10.2019
713,20.07,+2.0,Alexander Ogando,DOM,03.05.00,Irvine,30.04.2022
713,20.07,+1.3,Brandon Carnes,USA,06.03.95,New York City,12.06.2022
713,20.07,-0.3,Zharnel Hughes,GBR,13.07.95,München,19.08.2022
713,20.07,-2.9,Erriyon Knighton,USA,29.01.04,Bruxelles,02.09.2022
713,20.07,±0.0,Joseph Fahnbulleh,LBR,11.09.01,Zagreb,11.09.2022
713,20.07,+2.0,Emmanuel Matadi,LBR,15.04.91,Austin,01.04.2023
713,20.07,+0.4,Udodi Chudi Onwuzurike,NGR,29.01.03,Sacramento,26.05.2023
713,20.07,+0.9,Shaun Maswanganyi,RSA,01.02.01,Austin,09.06.2023
751,20.08A,+0.1,Silvio Leonard,CUB,20.09.55,Guadalajara,12.08.1977
751,20.08,+0.9,LaMonte King,USA,18.12.59,Walnut,15.06.1980
751,20.08A,+1.6,Dwayne Evans,USA,13.10.58,Albuquerque,13.06.1987
751,20.08,+0.2,Calvin Smith,USA,08.01.61,Zürich,17.08.1988
751,20.08,+1.5,Robson Caetano da Silva,BRA,04.09.64,London,14.07.1989
751,20.08,+0.3,Danny Everett,USA,01.11.66,Norwalk,16.06.1990
751,20.08,+0.2,Frank Fredericks,NAM,02.10.67,Roma,17.07.1991
751,20.08,-1.1,Michael Johnson,USA,13.09.67,Zürich,07.08.1991
751,20.08,+0.8,Frank Fredericks,NAM,02.10.67,Sevilla,06.06.1992
751,20.08,+1.2,Michael Marsh,USA,04.08.67,Barcelona,03.08.1992
751,20.08A,-1.7,Frank Fredericks,NAM,02.10.67,Sestriere,28.07.1993
751,20.08,±0.0,Ato Boldon,TTO,30.12.73,Tucson,20.05.1995
751,20.08,+1.7,Ramon Clay,USA,29.06.75,Atlanta,23.06.1996
751,20.08A,-0.6,Ramon Clay,USA,29.06.75,Roodepoort,16.03.1998
751,20.08,+1.7,Aaron Armstrong,USA,14.10.77,Norman,10.04.1999
751,20.08,-0.6,Francis Obikwelu,NGR,22.11.78,Athínai,28.06.2000
751,20.08,+1.0,Christian Malcolm,GBR,03.06.79,Edmonton,08.08.2001
751,20.08A,-0.5,Shawn Crawford,USA,14.01.78,Pretoria,04.04.2003
751,20.08,-0.7,Xavier Carter,USA,08.12.85,Sacramento,11.06.2005
751,20.08,+1.5,Usain Bolt,JAM,21.08.86,Fort-de-France,29.04.2006
751,20.08,-0.8,Wallace Spearmon,USA,24.12.84,Stockholm,25.07.2006
751,20.08,+1.2,Wallace Spearmon,USA,24.12.84,Sheffield,15.07.2007
751,20.08,+1.2,Usain Bolt,JAM,21.08.86,Sheffield,15.07.2007
751,20.08,+0.9,Tyson Gay,USA,09.08.82,Osaka,28.08.2007
751,20.08,+0.8,LaShawn Merritt,USA,27.06.86,Ad-Dawhah,09.05.2008
751,20.08,-1.7,Tyson Gay,USA,09.08.82,Carson,18.05.2008
751,20.08,±0.0,Usain Bolt,JAM,21.08.86,Berlin,19.08.2009
751,20.08,+0.4,Churandy Martina,AHO,03.07.84,Lausanne,08.07.2010
751,20.08,+0.1,Warren Weir,JAM,31.10.89,New York City,09.06.2012
751,20.08,±0.0,Jason Young,JAM,21.03.91,Zürich,30.08.2012
751,20.08,±0.0,Adam Gemili,GBR,06.10.93,Moskva,17.08.2013
751,20.08,+1.6,Antoine Adams,SKN,31.08.88,Basseterre,22.06.2014
751,20.08,-0.5,Christophe Lemaitre,FRA,11.06.90,Monaco,18.07.2014
751,20.08,-0.3,Adam Gemili,GBR,06.10.93,Rio de Janeiro,17.08.2016
751,20.08,+0.6,Ramil Guliyev,TUR,29.05.90,Baku,18.05.2017
751,20.08,+0.7,Nethaneel Mitchell-Blake,GBR,02.04.94,London,07.08.2017
751,20.08A,+1.8,Luxolo Adams,RSA,01.08.96,Pretoria,17.03.2018
751,20.08,+0.8,Kyle Greaux,TTO,26.04.88,Clermont,12.05.2018
751,20.08,-0.6,Alex Quiñonez,ECU,11.08.89,Paris,30.06.2018
751,20.08,+0.4,Alex Quiñonez,ECU,11.08.89,Lausanne,05.07.2018
751,20.08,+1.9,Bernardo Baloyes,COL,06.01.94,Bragança Paulista,28.04.2019
751,20.08,±0.0,Divine Oduduru,NGR,07.10.96,Sacramento,25.05.2019
751,20.08,+0.7,Mario Burke,BAR,18.03.97,Austin,05.06.2019
751,20.08,+2.0,Joseph Amoah,GHA,12.01.97,Austin,05.06.2019
751,20.08,+0.8,Abdul Hakim Sani Brown,JPN,06.03.99,Austin,07.06.2019
751,20.08,-1.2,Adam Gemili,GBR,06.10.93,Birmingham,25.08.2019
751,20.08,+0.8,Alex Quiñonez,ECU,11.08.89,Ad-Dawhah,29.09.2019
751,20.08,-0.1,Andre De Grasse,CAN,10.11.94,Ad-Dawhah,30.09.2019
751,20.08,+1.7,Lance Lang,USA,01.02.01,College Station,15.05.2021
751,20.08,+0.9,Fred Kerley,USA,07.05.95,Eugene,26.06.2021
751,20.08,+0.1,Udodi Onwuzurike,NGR,29.01.03,Fayetteville,27.05.2022
751,20.08,+1.1,Erriyon Knighton,USA,29.01.04,Eugene,25.06.2022
751,20.08,+0.4,Jereem Richards,TTO,13.01.94,Eugene,21.07.2022
751,20.08,+0.7,Jereem Richards,TTO,13.01.94,Westwood,27.05.2023
805,20.09,-1.3,Carl Lewis,USA,01.07.61,Los Angeles,21.06.1984
805,20.09,+0.8,Pietro Mennea,ITA,28.06.52,Brindisi,14.10.1984
805,20.09,-0.4,Carl Lewis,USA,01.07.61,Berlin,21.08.1987
805,20.09,+2.0,Michael Johnson,USA,13.09.67,College Station,16.04.1988
805,20.09,+1.7,Linford Christie,GBR,02.04.60,Seoul,28.09.1988
805,20.09A,+1.9,Dennis Mitchell,USA,20.02.66,Provo,02.06.1989
805,20.09,+1.0,Floyd Heard,USA,24.03.66,Houston,17.06.1989
805,20.09A,+1.0,Frank Fredericks,NAM,02.10.67,Germiston,25.04.1992
805,20.09,-0.2,John Regis,GBR,13.10.66,Barcelona,05.08.1992
805,20.09,+0.1,Michael Johnson,USA,13.09.67,Tokyo,15.09.1994
805,20.09,-1.1,Michael Johnson,USA,13.09.67,Rieti,05.09.1995
805,20.09,-1.6,Ato Boldon,TTO,30.12.73,Westwood,12.04.1997
805,20.09,-0.2,Ato Boldon,TTO,30.12.73,Athínai,07.08.1997
805,20.09,-1.2,Obadele Thompson,BAR,30.03.76,Osaka,08.05.1999
805,20.09,±0.0,Coby Miller,USA,19.10.76,Athens GA,16.05.1999
805,20.09,+2.0,Tyree Washington,USA,28.08.76,Edwardsville,22.05.1999
805,20.09,-0.4,Frank Fredericks,NAM,02.10.67,Nice,17.07.1999
805,20.09,+1.0,Shawn Crawford,USA,14.01.78,Durham,03.06.2000
805,20.09,-0.6,Konstadínos Kedéris,GRE,11.07.73,Sydney,28.09.2000
805,20.09,+0.1,Christian Malcolm,GBR,03.06.79,Bruxelles,24.08.2001
805,20.09,+1.9,Tyson Gay,USA,09.08.82,Austin,10.06.2004
805,20.09,-0.4,Shawn Crawford,USA,14.01.78,Sacramento,17.07.2004
805,20.09,-0.8,Justin Gatlin,USA,10.02.82,Sacramento,17.07.2004
805,20.09,+1.4,Tyson Gay,USA,09.08.82,Sheffield,21.08.2005
805,20.09,+0.4,Wallace Spearmon,USA,24.12.84,New York City,03.06.2006
805,20.09,+0.1,Usain Bolt,JAM,21.08.86,Beijing,19.08.2008
805,20.09,+1.1,Nickel Ashmeade,JAM,07.04.90,Kingston,05.05.2012
805,20.09,±0.0,Wallace Spearmon,USA,24.12.84,Monaco,20.07.2012
805,20.09,+0.8,Tsákonas Likoúrgos-Stéfanos,GRE,08.03.90,Roma,04.06.2015
805,20.09,+1.7,Andre De Grasse,CAN,10.11.94,Eugene,10.06.2015
805,20.09,+1.0,Alonso Edward,PAN,08.12.89,Toronto,23.07.2015
805,20.09,+1.0,Roberto Skyers,CUB,12.11.91,Toronto,23.07.2015
805,20.09,+1.6,Noah Lyles,USA,18.07.97,Eugene,09.07.2016
805,20.09,+1.0,Andre De Grasse,CAN,10.11.94,Rio de Janeiro,16.08.2016
805,20.09,-0.3,Ramil Guliyev,TUR,29.05.90,Rio de Janeiro,17.08.2016
805,20.09,+0.6,Nethaneel Mitchell-Blake,GBR,02.04.94,Columbia,13.05.2017
805,20.09,-2.3,Ameer Webb,USA,19.03.91,Sacramento,25.06.2017
805,20.09,-0.1,Ramil Guliyev,TUR,29.05.90,London,10.08.2017
805,20.09,-0.9,Jereem Richards,TTO,13.01.94,Ostrava,13.06.2018
805,20.09,-0.9,Ramil Guliyev,TUR,29.05.90,Ostrava,13.06.2018
805,20.09,+1.4,Jaron Flournoy,USA,24.11.96,Jacksonville,25.05.2019
805,20.09,+0.7,Micaiah Harris,USA,23.05.99,Austin,05.06.2019
805,20.09,+0.7,Andrew Hudson,USA,14.12.96,Austin,05.06.2019
805,20.09,-1.0,Andre De Grasse,CAN,10.11.94,Oslo,01.07.2021
805,20.09,±0.0,Udodi Onwuzurike,NGR,29.01.03,Eugene,15.05.2022
805,20.09,+1.2,Fred Kerley,USA,07.05.95,Eugene,26.06.2022
805,20.09,+1.1,Luxolo Adams,RSA,01.08.96,Eugene,19.07.2022
805,20.09,+1.3,Alexander Ogando,DOM,03.05.00,Lausanne,26.08.2022
805,20.09,+1.3,Andrew Hudson,JAM,14.12.96,Lausanne,26.08.2022
805,20.09,+1.1,Robert Gregory,USA,12.12.01,Jacksonville,24.05.2023
805,20.09,+0.6,Reynier Mena,CUB,21.11.96,Oslo,15.06.2023
856,20.10A,+0.9,John Carlos,USA,05.06.45,Ciudad de México,16.10.1968
856,20.10,+1.7,Millard Hampton,USA,08.07.56,Eugene,22.06.1976
856,20.10,-1.4,Calvin Smith,USA,08.01.61,Zürich,19.08.1987
856,20.10,-0.4,Michael Johnson,USA,13.09.67,Athínai,07.09.1990
856,20.10,±0.0,Michael Marsh,USA,04.08.67,New York City,24.05.1992
856,20.10,±0.0,Michael Johnson,USA,13.09.67,Lausanne,08.07.1992
856,20.10,+0.6,Michael Marsh,USA,04.08.67,Stuttgart,19.08.1993
856,20.10A,-0.2,Daniel Effiong,NGR,17.06.72,San José,28.05.1994
856,20.10,+1.5,Frank Fredericks,NAM,02.10.67,Lausanne,06.07.1994
856,20.10,+0.6,Michael Johnson,USA,13.09.67,Sankt Peterburg,28.07.1994
856,20.10,+0.9,Jeff Williams,USA,31.12.65,Atlanta,21.06.1996
856,20.10,+2.0,Tyree Washington,USA,28.08.76,Villeneuve d'Ascq,29.06.1997
856,20.10A,-1.2,Michael Johnson,USA,13.09.67,Roodepoort,19.03.1999
856,20.10,+1.6,Maurice Greene,USA,23.07.74,Sevilla,25.08.1999
856,20.10,+1.7,Kevin Little,USA,03.04.68,Sevilla,25.08.1999
856,20.10,+1.7,Frank Fredericks,NAM,02.10.67,Sevilla,25.08.1999
856,20.10,+0.4,Claudinei Quirino da Silva,BRA,19.11.70,Bruxelles,03.09.1999
856,20.10,-1.1,John Capel,USA,27.10.78,Sydney,28.09.2000
856,20.10,+0.5,Konstadínos Kedéris,GRE,11.07.73,Athínai,11.06.2001
856,20.10,-0.6,Shawn Crawford,USA,14.01.78,Zagreb,07.07.2003
856,20.10,-1.7,Asafa Powell,JAM,23.11.82,Santo Domingo,01.05.2004
856,20.10,±0.0,Tyson Gay,USA,09.08.82,Bloomington,28.05.2005
856,20.10,+1.3,Usain Bolt,JAM,21.08.86,Kingston,06.05.2006
856,20.10,+0.4,LaShawn Merritt,USA,27.06.86,Lausanne,11.07.2006
856,20.10,-0.1,Usain Bolt,JAM,21.08.86,Stuttgart,10.09.2006
856,20.10,+1.6,Walter Dix,USA,31.01.86,Tallahassee,31.05.2008
856,20.10,+0.4,Ryan Bailey,USA,13.04.89,Zürich,19.08.2010
856,20.10,-1.1,Harry Adams,USA,27.11.89,Coral Gables,14.04.2012
856,20.10,+1.4,Wallace Spearmon,USA,24.12.84,Lausanne,23.08.2012
856,20.10,+1.6,Wallace Spearmon,USA,24.12.84,Des Moines,23.06.2013
856,20.10,+0.4,Wallace Spearmon,USA,24.12.84,Eugene,28.06.2015
856,20.10,+0.8,Ramil Guliyev,TUR,29.05.90,Beijing,26.08.2015
856,20.10,+1.9,Femi Ogunode,QAT,15.05.91,Ad-Dawhah,06.05.2016
856,20.10,+0.1,Alonso Edward,PAN,08.12.89,Monaco,15.07.2016
856,20.10,-0.2,Churandy Martina,NED,03.07.84,Rio de Janeiro,17.08.2016
856,20.10A,+1.7,Clarence Munyai,RSA,20.02.98,Pretoria,04.03.2017
856,20.10,+0.8,Wayde van Niekerk,RSA,15.07.92,Cape Town,29.04.2017
856,20.10,-0.5,Ramil Guliyev,TUR,29.05.90,Andújar,02.06.2017
856,20.10,-2.3,Christian Coleman,USA,06.03.96,Sacramento,25.06.2017
856,20.10A,+1.0,Isaac Makwala,BOT,24.09.85,Gaborone,29.04.2018
856,20.10,+0.7,Adam Gemili,GBR,06.10.93,Berlin,09.08.2018
856,20.10,+1.0,Aaron Brown,CAN,27.05.92,Ad-Dawhah,29.09.2019
856,20.10,+0.3,Aaron Brown,CAN,27.05.92,Ad-Dawhah,01.10.2019
856,20.10,+0.9,Joseph Fahnbulleh,USA,11.09.01,Gainesville,02.04.2021
856,20.10,-0.4,Shaun Maswanganyi,RSA,01.02.01,Eugene,11.06.2021
856,20.10,+0.2,Jereem Richards,TTO,13.01.94,Tokyo,03.08.2021
856,20.10,-0.1,Joseph Fahnbulleh,LBR,11.09.01,Eugene,08.06.2022
856,20.10,-0.4,Kenneth Bednarek,USA,14.10.98,Eugene,25.06.2022
856,20.10,+0.5,Andrew Hudson,JAM,14.12.96,Kingston,26.06.2022
856,20.10,+0.3,Aaron Brown,CAN,27.05.92,Eugene,19.07.2022
856,20.10,+0.3,Filippo Tortu,ITA,15.06.98,Eugene,19.07.2022
856,20.10,+1.3,Tapiwa Makarawu,ZIM,14.08.00,Lubbock,29.04.2023
908,20.11,±0.0,Pietro Mennea,ITA,28.06.52,Milano,02.07.1977
908,20.11A,+0.1,Donald Quarrie,JAM,25.02.51,Guadalajara,12.08.1977
908,20.11,+0.4,Kirk Baptiste,USA,20.06.63,Indianapolis,16.06.1985
908,20.11,+0.7,Attila Kovács,HUN,02.09.60,Miskolc,21.08.1987
908,20.11,±0.0,John Regis,GBR,13.10.66,Split,30.08.1990
908,20.11,+0.2,Olapade Adeniken,NGR,19.08.69,Austin,06.06.1992
908,20.11,±0.0,Olapade Adeniken,NGR,19.08.69,Lausanne,08.07.1992
908,20.11,+1.2,Brian Bridgewater,USA,07.09.70,Abilene,29.05.1993
908,20.11,+0.6,Frank Fredericks,NAM,02.10.67,Stuttgart,19.08.1993
908,20.11,+1.9,Linford Christie,GBR,02.04.60,Villeneuve d'Ascq,25.06.1995
908,20.11,+0.3,Frank Fredericks,NAM,02.10.67,Tokyo,15.09.1995
908,20.11,+0.5,Ato Boldon,TTO,30.12.73,Monaco,16.08.1997
908,20.11,+0.2,Obadele Thompson,BAR,30.03.76,Monaco,04.08.1999
908,20.11,±0.0,Frank Fredericks,NAM,02.10.67,Sevilla,24.08.1999
908,20.11,+1.2,Francis Obikwelu,NGR,22.11.78,Sevilla,27.08.1999
908,20.11,+0.5,Obadele Thompson,BAR,30.03.76,Linz,08.08.2000
908,20.11,+0.7,Christopher Williams,JAM,15.03.72,Edmonton,08.08.2001
908,20.11A,-0.8,Morné Nagel,RSA,23.03.78,Germiston,05.04.2002
908,20.11,+0.6,Stéphane Buckland,MRI,13.01.77,Saint-Denis,28.08.2003
908,20.11,+0.2,Wallace Spearmon,USA,24.12.84,London,28.07.2006
908,20.11,±0.0,Usain Bolt,JAM,21.08.86,Lausanne,10.07.2007
908,20.11,-0.1,Wallace Spearmon,USA,24.12.84,London,03.08.2007
908,20.11,±0.0,Anastásios Goúsis,GRE,07.07.79,Osaka,28.08.2007
908,20.11,+0.1,Churandy Martina,AHO,03.07.84,Beijing,19.08.2008
908,20.11,+0.4,Steve Mullings,JAM,29.11.82,Zürich,19.08.2010
908,20.11,+1.0,Justin Gatlin,USA,10.02.82,Gainesville,21.04.2012
908,20.11,+1.5,Warren Weir,JAM,31.10.89,Luzern,17.07.2012
908,20.11,+0.9,Warren Weir,JAM,31.10.89,New York City,25.05.2013
908,20.11,+1.2,Christophe Lemaitre,FRA,11.06.90,Lausanne,03.07.2014
908,20.11,+0.4,Beejay Lee,USA,05.03.93,Eugene,28.06.2015
908,20.11,+0.3,Wallace Spearmon,USA,24.12.84,Toronto,24.07.2015
908,20.11,-0.2,Alonso Edward,PAN,08.12.89,Beijing,25.08.2015
908,20.11,-0.1,Ramil Guliyev,TUR,29.05.90,Beijing,27.08.2015
908,20.11,+0.6,Miguel Francis,ANT,28.02.95,Kingston,16.04.2016
908,20.11,+1.2,Alonso Edward,PAN,08.12.89,Clermont,30.04.2016
908,20.11,-1.7,Churandy Martina,NED,03.07.84,Amsterdam,19.06.2016
908,20.11,+1.8,Shota Iizuka,JPN,25.06.91,Nagoya,26.06.2016
908,20.11,+1.2,Rasheed Dwyer,JAM,29.01.89,Kingston,10.06.2017
908,20.11A,+0.5,Bernardo Baloyes,COL,06.01.94,Medellín,11.06.2017
908,20.11,-0.1,Wayde van Niekerk,RSA,15.07.92,London,10.08.2017
908,20.11,-0.1,Jereem Richards,TTO,13.01.94,London,10.08.2017
908,20.11,+1.6,Elijah Hall-Thompson,USA,22.08.94,Austin,31.03.2018
908,20.11,+1.3,Ramil Guliyev,TUR,29.05.90,Ad-Dawhah,04.05.2018
908,20.11,+1.7,Kyle Greaux,TTO,26.04.88,Toronto,12.08.2018
908,20.11,+0.8,Mario Burke,BAR,18.03.97,Austin,07.06.2019
908,20.11,-1.4,Noah Lyles,USA,18.07.97,Des Moines,28.07.2019
908,20.11,+1.0,Miguel Francis,GBR,28.02.95,Ad-Dawhah,29.09.2019
908,20.11,+1.6,Erriyon Knighton,USA,29.01.04,Jacksonville,30.05.2021
908,20.11,+0.1,Elijah Hall-Thompson,USA,22.08.94,Budapest,24.08.2021
908,20.11A,+2.0,Filippo Tortu,ITA,15.06.98,Nairobi,18.09.2021
908,20.11,-0.4,Matthew Boling,USA,20.06.00,Eugene,25.06.2022
908,20.11,+0.6,Courtney Lindsey,USA,18.11.98,Austin,01.04.2023
908,20.11,+1.1,Issam Asinga,USA,29.12.04,Coral Gables,08.04.2023
908,20.11,+1.2,Christian Coleman,USA,06.03.96,Waco,21.04.2023
908,20.11,+0.3,Kenneth Bednarek,USA,14.10.98,Ad-Dawhah,05.05.2023
963,20.12A,+0.2,John Carlos,USA,05.06.45,Ciudad de México,16.10.1968
963,20.12,+2.0,Donald Quarrie,JAM,25.02.51,Eugene,21.06.1975
963,20.12,±0.0,Pietro Mennea,ITA,28.06.52,Rieti,31.08.1980
963,20.12,+0.6,Floyd Heard,USA,24.03.66,Moskva,07.07.1986
963,20.12A,+0.4,Carl Lewis,USA,01.07.61,San José,26.06.1987
963,20.12,+1.0,Mark Witherspoon,USA,03.09.63,Houston,17.06.1989
963,20.12,+0.8,John Regis,GBR,13.10.66,Lausanne,10.07.1991
963,20.12,-1.1,Frank Fredericks,NAM,02.10.67,Zürich,07.08.1991
963,20.12,-0.8,Leroy Burrell,USA,21.02.67,New Orleans,27.06.1992
963,20.12,+0.7,Olapade Adeniken,NGR,19.08.69,Bratislava,01.06.1993
963,20.12,+0.5,Frank Fredericks,NAM,02.10.67,Göteborg,11.08.1995
963,20.12,+1.1,Ramon Clay,USA,29.06.75,Atlanta,21.06.1996
963,20.12,+0.8,Obadele Thompson,BAR,30.03.76,Roma,07.07.1999
963,20.12,-0.1,Michael Johnson,USA,13.09.67,Linz,26.07.1999
963,20.12,-0.8,Francis Obikwelu,NGR,22.11.78,München,11.09.1999
963,20.12,+1.0,Coby Miller,USA,19.10.76,Durham,03.06.2000
963,20.12,+0.5,Darvis Patton,USA,04.12.77,Bruxelles,30.08.2002
963,20.12,+1.9,Brian Dzingai,ZIM,29.04.81,Austin,10.06.2004
963,20.12,+0.1,Francis Obikwelu,POR,22.11.78,Saint-Denis,23.07.2004
963,20.12,-0.9,Shawn Crawford,USA,14.01.78,Carson,26.06.2005
963,20.12,+1.3,Tyson Gay,USA,09.08.82,Kingston,06.05.2006
963,20.12,±0.0,Usain Bolt,JAM,21.08.86,Osaka,28.08.2007
963,20.12,+1.6,Brendan Christian,ANT,11.12.83,Fort-de-France,08.05.2008
963,20.12,+0.1,Shawn Crawford,USA,14.01.78,Beijing,19.08.2008
963,20.12,-0.6,Wallace Spearmon,USA,24.12.84,London,14.08.2010
963,20.12,±0.0,Nickel Ashmeade,JAM,07.04.90,Birmingham,26.08.2012
963,20.12,+0.2,Jason Young,JAM,21.03.91,Saint-Denis,06.07.2013
963,20.12,±0.0,Usain Bolt,JAM,21.08.86,Moskva,16.08.2013
963,20.12,-0.2,Walter Dix,USA,31.01.86,Bruxelles,06.09.2013
963,20.12,+1.5,Remontay McClain,USA,21.09.92,Cerritos,06.06.2015
963,20.12,+0.5,Anaso Jobodwana,RSA,30.07.92,Luzern,14.07.2015
963,20.12,+1.0,Andre De Grasse,CAN,10.11.94,Toronto,23.07.2015
963,20.12A,+1.8,Rasheed Dwyer,JAM,29.01.89,"San José, CRC",09.08.2015
963,20.12,+1.5,Jamiel Trimble,USA,25.06.95,Lawrence,28.05.2016
963,20.12,-0.2,Bruno Hortelano,ESP,18.09.91,Rio de Janeiro,16.08.2016
963,20.12,-0.5,Christophe Lemaitre,FRA,11.06.90,Rio de Janeiro,18.08.2016
963,20.12,-0.5,Adam Gemili,GBR,06.10.93,Rio de Janeiro,18.08.2016
963,20.12,+0.9,Jereem Richards,TTO,13.01.94,Gold Coast,12.04.2018
963,20.12,+0.4,Rodney Rowe,USA,17.03.97,Greensboro,04.05.2019
963,20.12,+1.5,Aaron Brown,CAN,27.05.92,Eugene,21.08.2021
963,20.12,+1.5,Jereem Richards,TTO,13.01.94,Gainesville,15.04.2022
963,20.12,+1.0,Joseph Fahnbulleh,LBR,11.09.01,Eugene,18.07.2022
963,20.12,+1.1,Zharnel Hughes,GBR,13.07.95,Birmingham,06.08.2022
963,20.12,+0.8,Renan Correa,BRA,15.03.04,Cuiabá,18.09.2022
963,20.12,-1.4,Javonte Harding,USA,29.08.01,Baton Rouge,11.05.2023
963,20.12A,+0.9,Aaron Brown,CAN,27.05.92,Nairobi,13.05.2023
963,20.12,+0.6,Robert Gregory,USA,12.12.01,Baton Rouge,13.05.2023
963,20.12,+1.1,Courtney Lindsey,USA,18.11.98,Norman,14.05.2023
963,20.12,+0.7,Tarsis Orogot,UGA,24.11.02,Jacksonville,24.05.2023
1012,20.13,+0.1,Clancy Edwards,USA,09.08.55,Westwood,14.05.1977
1012,20.13,+1.5,Calvin Smith,USA,08.01.61,Indianapolis,19.06.1983
1012,20.13,+1.7,Roy Martin,USA,25.12.66,Austin,11.05.1985
1012,20.13,+0.4,Roy Martin,USA,25.12.66,Indianapolis,16.06.1985
1012,20.13,+1.4,Joe DeLoach,USA,05.06.67,Les Abymes,07.05.1989
1012,20.13,+1.9,Frank Fredericks,NAM,02.10.67,Eugene,31.05.1991
1012,20.13,+1.1,Danny Everett,USA,01.11.66,New York City,20.07.1991
1012,20.13,+0.2,Frank Fredericks,NAM,02.10.67,Monaco,03.08.1991
1012,20.13,+1.1,Mark Witherspoon,USA,03.09.63,Austin,09.05.1992
1012,20.13,-1.0,Frank Fredericks,NAM,02.10.67,Barcelona,06.08.1992
1012,20.13,-0.3,Michael Bates,USA,19.12.69,Bruxelles,28.08.1992
1012,20.13,±0.0,Frank Fredericks,NAM,02.10.67,Bruxelles,25.08.1995
1012,20.13,-0.1,Frank Fredericks,NAM,02.10.67,Athínai,06.08.1997
1012,20.13,±0.0,Rohsaan Griffin,USA,21.02.74,Saint-Denis,03.07.1999
1012,20.13,+0.7,Maurice Greene,USA,23.07.74,Paris,21.07.1999
1012,20.13,+1.6,Claudinei Quirino da Silva,BRA,19.11.70,Sevilla,25.08.1999
1012,20.13,+0.3,Darren Campbell,GBR,12.09.73,Sydney,27.09.2000
1012,20.13,-0.2,John Capel,USA,27.10.78,Sydney,27.09.2000
1012,20.13,+1.2,Christian Malcolm,GBR,03.06.79,Edmonton,07.08.2001
1012,20.13,+1.0,Kevin Little,USA,03.04.68,Edmonton,08.08.2001
1012,20.13A,±0.0,Coby Miller,USA,19.10.76,Ciudad de México,03.05.2003
1012,20.13,±0.0,Usain Bolt,JAM,21.08.86,Bridgetown,20.07.2003
1012,20.13,-1.2,Bernard Williams,USA,19.01.78,Zürich,06.08.2004
1012,20.13,-0.7,Xavier Carter,USA,08.12.85,Coral Gables,15.04.2006
1012,20.13,+0.1,Walter Dix,USA,31.01.86,Atlanta,12.05.2007
1012,20.13,-0.3,Usain Bolt,JAM,21.08.86,Osaka,28.08.2007
1012,20.13,+0.9,Marvin Anderson,JAM,12.05.82,Osaka,28.08.2007
1012,20.13,+0.2,LaShawn Merritt,USA,27.06.86,Rieti,10.09.2011
1012,20.13,Warren,Weir,JAM,31.10.89,Georgetown,09.05.2012
1012,20.13,+0.2,Maurice Mitchell,USA,22.12.89,Jacksonville,26.05.2012
1012,20.13,+1.7,Anaso Jobodwana,RSA,30.07.92,Greensboro,25.05.2013
1012,20.13,+0.9,Jason Livermore,JAM,25.04.88,Kingston,23.06.2013
1012,20.13A,+0.5,Antoine Adams,SKN,31.08.88,Morelia,07.07.2013
1012,20.13,±0.0,Anaso Jobodwana,RSA,30.07.92,Moskva,16.08.2013
1012,20.13,-0.3,Churandy Martina,NED,03.07.84,Moskva,16.08.2013
1012,20.13,-0.2,Nickel Ashmeade,JAM,07.04.90,Ad-Dawhah,09.05.2014
1012,20.13,+1.3,Curtis Mitchell,USA,11.03.89,Sacramento,29.06.2014
1012,20.13,+0.6,Usain Bolt,JAM,21.08.86,Ostrava,26.05.2015
1012,20.13,+1.6,Trayvon Bromell,USA,10.07.95,Austin,29.05.2015
1012,20.13,±0.0,Zharnel Hughes,GBR,13.07.95,Lausanne,09.07.2015
1012,20.13,+0.6,Kenji Fujimitsu,JPN,01.05.86,Luzern,14.07.2015
1012,20.13,-0.4,Zharnel Hughes,GBR,13.07.95,Beijing,25.08.2015
1012,20.13,+0.9,Tevin Hester,USA,10.01.94,Tallahassee,15.05.2016
1012,20.13,-0.2,Yohan Blake,JAM,26.12.89,Rio de Janeiro,16.08.2016
1012,20.13,-0.2,Justin Gatlin,USA,10.02.82,Rio de Janeiro,17.08.2016
1012,20.13,-0.5,Churandy Martina,NED,03.07.84,Rio de Janeiro,18.08.2016
1012,20.13,-0.7,Ameer Webb,USA,19.03.91,London,09.07.2017
1012,20.13A,-0.6,Anaso Jobodwana,RSA,30.07.92,Johannesburg,01.03.2018
1012,20.13,+1.3,Divine Oduduru,NGR,07.10.96,Waco,13.05.2018
1012,20.13,+1.5,Ameer Webb,USA,19.03.91,Des Moines,24.06.2018
1012,20.13,+0.1,Alex Quiñonez,ECU,11.08.89,London,22.07.2018
1012,20.13,+0.9,Bernardo Baloyes,COL,06.01.94,Barranquilla,01.08.2018
1012,20.13,+0.7,Eseosa Desalu,ITA,19.02.94,Berlin,09.08.2018
1012,20.13,+1.7,Andrew Hudson,USA,14.12.96,Sacramento,24.05.2019
1012,20.13,+1.1,Abdul Hakim Sani Brown,JPN,06.03.99,Jacksonville,25.05.2019
1012,20.13,+0.8,Micaiah Harris,USA,23.05.99,Austin,07.06.2019
